IP 地址,已发送,已接收,丢包率,平均延迟,下载速度(MB/s),地区码
104.21.25.156,4,4,0.00,30.58,0.00,N/A
104.21.6.193,4,4,0.00,30.59,0.00,N/A
104.21.27.246,4,4,0.00,30.59,0.00,N/A
104.24.46.149,4,4,0.00,30.63,0.00,N/A
172.64.229.210,4,4,0.00,30.63,0.00,N/A
172.65.52.106,4,4,0.00,30.66,0.00,N/A
104.21.8.148,4,4,0.00,30.67,0.00,N/A
172.64.235.54,4,4,0.00,30.67,0.00,N/A
172.67.67.149,4,4,0.00,30.68,0.00,N/A
162.159.143.174,4,4,0.00,30.69,0.00,N/A
104.21.55.245,4,4,0.00,30.71,0.00,N/A
104.21.82.48,4,4,0.00,30.71,0.00,N/A
172.64.231.23,4,4,0.00,30.72,0.00,N/A
172.65.54.41,4,4,0.00,30.74,0.00,N/A
172.65.53.30,4,4,0.00,30.77,0.00,N/A
172.65.22.178,4,4,0.00,30.78,0.00,N/A
172.64.67.205,4,4,0.00,30.78,0.00,N/A
172.64.35.41,4,4,0.00,30.79,0.00,N/A
104.21.91.210,4,4,0.00,30.80,0.00,N/A
172.67.104.14,4,4,0.00,30.84,0.00,N/A
104.21.16.126,4,4,0.00,30.85,0.00,N/A
172.64.95.231,4,4,0.00,30.85,0.00,N/A
172.67.152.82,4,4,0.00,30.92,0.00,N/A
172.66.41.198,4,4,0.00,30.92,0.00,N/A
172.66.42.136,4,4,0.00,30.96,0.00,N/A
172.66.136.140,4,4,0.00,31.00,0.00,N/A
172.67.88.176,4,4,0.00,31.01,0.00,N/A
172.67.142.44,4,4,0.00,31.02,0.00,N/A
104.21.64.188,4,4,0.00,31.03,0.00,N/A
172.67.130.28,4,4,0.00,31.04,0.00,N/A
172.66.40.136,4,4,0.00,31.05,0.00,N/A
172.66.131.25,4,4,0.00,31.05,0.00,N/A
172.66.135.113,4,4,0.00,31.07,0.00,N/A
172.65.85.237,4,4,0.00,31.08,0.00,N/A
104.24.82.234,4,4,0.00,31.08,0.00,N/A
172.65.135.133,4,4,0.00,31.10,0.00,N/A
172.65.84.92,4,4,0.00,31.19,0.00,N/A
172.64.176.97,4,4,0.00,31.21,0.00,N/A
172.65.18.188,4,4,0.00,31.24,0.00,N/A
172.65.70.137,4,4,0.00,31.26,0.00,N/A
172.67.105.84,4,4,0.00,31.34,0.00,N/A
172.67.80.138,4,4,0.00,31.40,0.00,N/A
172.67.114.35,4,4,0.00,31.40,0.00,N/A
172.65.149.2,4,4,0.00,31.41,0.00,N/A
172.65.16.128,4,4,0.00,31.41,0.00,N/A
172.67.177.168,4,4,0.00,31.42,0.00,N/A
172.67.79.17,4,4,0.00,31.43,0.00,N/A
172.65.15.251,4,4,0.00,31.44,0.00,N/A
172.64.41.96,4,4,0.00,31.45,0.00,N/A
172.67.89.79,4,4,0.00,31.45,0.00,N/A
172.67.116.104,4,4,0.00,31.46,0.00,N/A
172.65.75.237,4,4,0.00,31.52,0.00,N/A
172.66.132.42,4,4,0.00,31.53,0.00,N/A
172.65.60.193,4,4,0.00,31.54,0.00,N/A
172.67.169.77,4,4,0.00,31.55,0.00,N/A
172.67.168.208,4,4,0.00,31.57,0.00,N/A
162.159.133.63,4,4,0.00,31.63,0.00,N/A
104.21.53.250,4,4,0.00,31.71,0.00,N/A
172.67.124.130,4,4,0.00,31.73,0.00,N/A
172.67.123.154,4,4,0.00,31.74,0.00,N/A
172.65.1.174,4,4,0.00,31.77,0.00,N/A
172.65.230.206,4,4,0.00,31.82,0.00,N/A
172.65.92.7,4,4,0.00,31.83,0.00,N/A
172.67.157.168,4,4,0.00,31.84,0.00,N/A
104.21.3.254,4,4,0.00,31.86,0.00,N/A
162.159.134.61,4,4,0.00,31.89,0.00,N/A
172.64.47.70,4,4,0.00,31.90,0.00,N/A
172.65.29.203,4,4,0.00,31.91,0.00,N/A
172.67.74.235,4,4,0.00,31.91,0.00,N/A
104.21.23.193,4,4,0.00,31.92,0.00,N/A
104.21.51.140,4,4,0.00,31.92,0.00,N/A
172.67.189.60,4,4,0.00,31.92,0.00,N/A
172.65.91.154,4,4,0.00,31.93,0.00,N/A
172.65.27.246,4,4,0.00,31.93,0.00,N/A
104.21.88.41,4,4,0.00,31.94,0.00,N/A
172.65.86.27,4,4,0.00,31.95,0.00,N/A
172.65.7.116,4,4,0.00,31.96,0.00,N/A
172.65.23.160,4,4,0.00,31.96,0.00,N/A
162.159.137.75,4,4,0.00,31.97,0.00,N/A
104.21.99.136,4,4,0.00,31.97,0.00,N/A
104.21.29.226,4,4,0.00,31.97,0.00,N/A
172.67.141.214,4,4,0.00,31.97,0.00,N/A
104.21.117.180,4,4,0.00,31.98,0.00,N/A
172.64.96.4,4,4,0.00,31.99,0.00,N/A
104.21.127.50,4,4,0.00,31.99,0.00,N/A
172.67.109.248,4,4,0.00,31.99,0.00,N/A
104.21.26.145,4,4,0.00,32.01,0.00,N/A
172.67.136.36,4,4,0.00,32.01,0.00,N/A
104.21.28.37,4,4,0.00,32.02,0.00,N/A
172.65.139.181,4,4,0.00,32.02,0.00,N/A
172.65.28.223,4,4,0.00,32.03,0.00,N/A
172.67.184.33,4,4,0.00,32.03,0.00,N/A
172.67.122.55,4,4,0.00,32.06,0.00,N/A
104.21.118.124,4,4,0.00,32.07,0.00,N/A
104.21.77.165,4,4,0.00,32.10,0.00,N/A
172.65.24.174,4,4,0.00,32.12,0.00,N/A
172.65.223.30,4,4,0.00,32.13,0.00,N/A
172.67.94.179,4,4,0.00,32.15,0.00,N/A
172.67.197.237,4,4,0.00,32.16,0.00,N/A
172.64.68.114,4,4,0.00,32.16,0.00,N/A
172.67.144.111,4,4,0.00,32.18,0.00,N/A
104.21.121.57,4,4,0.00,32.21,0.00,N/A
172.65.40.101,4,4,0.00,32.22,0.00,N/A
172.65.5.19,4,4,0.00,32.30,0.00,N/A
172.67.103.54,4,4,0.00,32.39,0.00,N/A
172.65.102.183,4,4,0.00,32.43,0.00,N/A
172.65.174.86,4,4,0.00,32.47,0.00,N/A
172.64.66.122,4,4,0.00,32.48,0.00,N/A
172.67.95.19,4,4,0.00,32.54,0.00,N/A
172.65.122.117,4,4,0.00,32.56,0.00,N/A
172.67.160.213,4,4,0.00,32.58,0.00,N/A
172.67.81.207,4,4,0.00,32.58,0.00,N/A
172.67.188.152,4,4,0.00,32.61,0.00,N/A
172.67.100.214,4,4,0.00,32.65,0.00,N/A
172.67.78.38,4,4,0.00,32.66,0.00,N/A
172.67.129.55,4,4,0.00,32.68,0.00,N/A
172.65.251.34,4,4,0.00,32.76,0.00,N/A
172.67.87.65,4,4,0.00,32.78,0.00,N/A
172.65.173.36,4,4,0.00,32.78,0.00,N/A
172.67.155.107,4,4,0.00,32.79,0.00,N/A
172.64.158.67,4,4,0.00,32.80,0.00,N/A
172.67.99.132,4,4,0.00,32.80,0.00,N/A
172.65.101.180,4,4,0.00,32.83,0.00,N/A
104.21.36.136,4,4,0.00,32.88,0.00,N/A
172.65.132.38,4,4,0.00,32.90,0.00,N/A
104.21.116.100,4,4,0.00,32.91,0.00,N/A
172.65.82.161,4,4,0.00,32.91,0.00,N/A
172.67.161.17,4,4,0.00,32.92,0.00,N/A
172.65.133.13,4,4,0.00,32.93,0.00,N/A
162.159.129.237,4,4,0.00,32.94,0.00,N/A
172.65.33.47,4,4,0.00,32.94,0.00,N/A
172.67.156.35,4,4,0.00,32.95,0.00,N/A
172.67.149.83,4,4,0.00,32.97,0.00,N/A
172.67.164.72,4,4,0.00,32.97,0.00,N/A
172.66.133.145,4,4,0.00,32.98,0.00,N/A
172.67.140.63,4,4,0.00,32.99,0.00,N/A
172.65.240.109,4,4,0.00,33.00,0.00,N/A
172.67.86.116,4,4,0.00,33.01,0.00,N/A
172.65.155.181,4,4,0.00,33.01,0.00,N/A
172.67.146.245,4,4,0.00,33.05,0.00,N/A
172.67.132.96,4,4,0.00,33.06,0.00,N/A
104.21.71.181,4,4,0.00,33.08,0.00,N/A
172.66.0.236,4,4,0.00,33.09,0.00,N/A
172.65.255.181,4,4,0.00,33.09,0.00,N/A
172.67.151.75,4,4,0.00,33.10,0.00,N/A
104.24.54.224,4,4,0.00,33.10,0.00,N/A
104.24.94.193,4,4,0.00,33.11,0.00,N/A
104.24.91.99,4,4,0.00,33.12,0.00,N/A
172.65.115.213,4,4,0.00,33.14,0.00,N/A
172.67.174.164,4,4,0.00,33.14,0.00,N/A
172.67.163.42,4,4,0.00,33.14,0.00,N/A
104.21.5.26,4,4,0.00,33.17,0.00,N/A
172.65.62.239,4,4,0.00,33.18,0.00,N/A
172.65.163.93,4,4,0.00,33.20,0.00,N/A
172.65.131.254,4,4,0.00,33.20,0.00,N/A
172.65.218.51,4,4,0.00,33.20,0.00,N/A
104.21.97.35,4,4,0.00,33.21,0.00,N/A
172.67.85.162,4,4,0.00,33.23,0.00,N/A
172.65.154.180,4,4,0.00,33.23,0.00,N/A
172.67.119.87,4,4,0.00,33.24,0.00,N/A
172.64.157.254,4,4,0.00,33.24,0.00,N/A
104.21.12.176,4,4,0.00,33.25,0.00,N/A
104.21.63.0,4,4,0.00,33.26,0.00,N/A
172.65.172.32,4,4,0.00,33.26,0.00,N/A
104.21.98.86,4,4,0.00,33.27,0.00,N/A
172.65.130.155,4,4,0.00,33.28,0.00,N/A
104.21.67.104,4,4,0.00,33.28,0.00,N/A
172.66.130.31,4,4,0.00,33.29,0.00,N/A
172.67.145.110,4,4,0.00,33.30,0.00,N/A
104.21.40.79,4,4,0.00,33.30,0.00,N/A
104.21.62.155,4,4,0.00,33.30,0.00,N/A
172.65.17.11,4,4,0.00,33.31,0.00,N/A
162.159.142.85,4,4,0.00,33.33,0.00,N/A
104.21.70.211,4,4,0.00,33.33,0.00,N/A
172.65.148.119,4,4,0.00,33.34,0.00,N/A
104.21.123.225,4,4,0.00,33.37,0.00,N/A
172.67.195.107,4,4,0.00,33.37,0.00,N/A
172.67.211.162,4,4,0.00,33.38,0.00,N/A
104.21.32.185,4,4,0.00,33.40,0.00,N/A
172.67.166.129,4,4,0.00,33.41,0.00,N/A
104.21.122.41,4,4,0.00,33.42,0.00,N/A
104.21.105.240,4,4,0.00,33.45,0.00,N/A
172.67.139.6,4,4,0.00,33.46,0.00,N/A
172.67.83.189,4,4,0.00,33.48,0.00,N/A
172.65.229.81,4,4,0.00,33.48,0.00,N/A
172.65.228.110,4,4,0.00,33.49,0.00,N/A
172.65.161.247,4,4,0.00,33.52,0.00,N/A
172.67.217.73,4,4,0.00,33.53,0.00,N/A
172.67.112.125,4,4,0.00,33.53,0.00,N/A
172.67.165.124,4,4,0.00,33.55,0.00,N/A
172.65.55.43,4,4,0.00,33.55,0.00,N/A
172.65.138.0,4,4,0.00,33.58,0.00,N/A
172.67.118.36,4,4,0.00,33.65,0.00,N/A
172.67.251.200,4,4,0.00,33.73,0.00,N/A
172.65.222.213,4,4,0.00,33.73,0.00,N/A
172.65.226.181,4,4,0.00,33.75,0.00,N/A
172.67.198.188,4,4,0.00,33.77,0.00,N/A
172.65.224.37,4,4,0.00,33.78,0.00,N/A
172.67.91.11,4,4,0.00,33.78,0.00,N/A
172.67.182.222,4,4,0.00,33.79,0.00,N/A
172.67.92.143,4,4,0.00,33.81,0.00,N/A
172.65.11.74,4,4,0.00,33.82,0.00,N/A
172.66.200.211,4,4,0.00,33.83,0.00,N/A
172.67.90.238,4,4,0.00,33.83,0.00,N/A
172.65.220.35,4,4,0.00,33.87,0.00,N/A
172.67.137.11,4,4,0.00,33.90,0.00,N/A
172.67.101.135,4,4,0.00,33.92,0.00,N/A
172.65.121.231,4,4,0.00,33.93,0.00,N/A
172.67.93.43,4,4,0.00,33.94,0.00,N/A
172.67.107.146,4,4,0.00,33.94,0.00,N/A
172.65.152.54,4,4,0.00,33.95,0.00,N/A
172.67.98.74,4,4,0.00,33.95,0.00,N/A
172.65.219.127,4,4,0.00,33.95,0.00,N/A
172.65.237.11,4,4,0.00,33.96,0.00,N/A
172.67.96.143,4,4,0.00,33.96,0.00,N/A
104.24.135.8,4,4,0.00,33.97,0.00,N/A
172.67.248.28,4,4,0.00,33.97,0.00,N/A
172.67.180.12,4,4,0.00,33.97,0.00,N/A
172.67.223.245,4,4,0.00,33.97,0.00,N/A
172.67.106.131,4,4,0.00,33.98,0.00,N/A
172.67.194.46,4,4,0.00,33.98,0.00,N/A
172.65.129.229,4,4,0.00,34.00,0.00,N/A
172.65.58.81,4,4,0.00,34.01,0.00,N/A
172.65.71.45,4,4,0.00,34.02,0.00,N/A
172.65.6.191,4,4,0.00,34.02,0.00,N/A
172.65.221.209,4,4,0.00,34.03,0.00,N/A
172.65.151.82,4,4,0.00,34.04,0.00,N/A
172.67.97.30,4,4,0.00,34.09,0.00,N/A
190.93.244.196,4,4,0.00,34.12,0.00,N/A
172.67.214.126,4,4,0.00,34.13,0.00,N/A
108.162.194.207,4,4,0.00,34.15,0.00,N/A
172.67.183.253,4,4,0.00,34.16,0.00,N/A
172.65.150.74,4,4,0.00,34.16,0.00,N/A
104.21.80.53,4,4,0.00,34.16,0.00,N/A
172.67.175.94,4,4,0.00,34.16,0.00,N/A
172.67.207.171,4,4,0.00,34.17,0.00,N/A
172.65.95.91,4,4,0.00,34.19,0.00,N/A
172.67.200.202,4,4,0.00,34.21,0.00,N/A
172.67.201.246,4,4,0.00,34.21,0.00,N/A
162.159.34.70,4,4,0.00,34.21,0.00,N/A
141.101.123.19,4,4,0.00,34.21,0.00,N/A
172.65.68.212,4,4,0.00,34.22,0.00,N/A
141.101.120.125,4,4,0.00,34.24,0.00,N/A
172.67.176.157,4,4,0.00,34.24,0.00,N/A
172.66.140.183,4,4,0.00,34.25,0.00,N/A
108.162.195.180,4,4,0.00,34.25,0.00,N/A
172.65.128.244,4,4,0.00,34.29,0.00,N/A
172.64.154.85,4,4,0.00,34.31,0.00,N/A
172.64.151.36,4,4,0.00,34.34,0.00,N/A
172.65.153.131,4,4,0.00,34.36,0.00,N/A
172.67.185.251,4,4,0.00,34.39,0.00,N/A
172.65.67.248,4,4,0.00,34.39,0.00,N/A
172.65.4.198,4,4,0.00,34.39,0.00,N/A
108.162.196.103,4,4,0.00,34.41,0.00,N/A
172.65.79.222,4,4,0.00,34.42,0.00,N/A
172.66.171.104,4,4,0.00,34.43,0.00,N/A
141.101.114.12,4,4,0.00,34.44,0.00,N/A
141.101.121.159,4,4,0.00,34.48,0.00,N/A
104.21.111.202,4,4,0.00,34.48,0.00,N/A
172.65.12.83,4,4,0.00,34.50,0.00,N/A
141.101.115.111,4,4,0.00,34.51,0.00,N/A
172.67.158.211,4,4,0.00,34.54,0.00,N/A
104.21.22.8,4,4,0.00,34.54,0.00,N/A
104.21.13.199,4,4,0.00,34.55,0.00,N/A
172.65.236.132,4,4,0.00,34.55,0.00,N/A
104.21.65.112,4,4,0.00,34.56,0.00,N/A
104.24.56.97,4,4,0.00,34.56,0.00,N/A
172.64.155.25,4,4,0.00,34.56,0.00,N/A
162.159.40.79,4,4,0.00,34.58,0.00,N/A
162.159.141.223,4,4,0.00,34.59,0.00,N/A
104.21.108.120,4,4,0.00,34.60,0.00,N/A
104.24.85.110,4,4,0.00,34.60,0.00,N/A
104.21.11.194,4,4,0.00,34.61,0.00,N/A
104.21.107.77,4,4,0.00,34.61,0.00,N/A
104.21.43.103,4,4,0.00,34.62,0.00,N/A
104.24.25.20,4,4,0.00,34.64,0.00,N/A
104.24.27.113,4,4,0.00,34.64,0.00,N/A
104.24.78.155,4,4,0.00,34.65,0.00,N/A
172.67.179.35,4,4,0.00,34.65,0.00,N/A
172.66.154.54,4,4,0.00,34.67,0.00,N/A
104.24.71.240,4,4,0.00,34.68,0.00,N/A
104.21.72.182,4,4,0.00,34.68,0.00,N/A
172.67.196.184,4,4,0.00,34.69,0.00,N/A
104.21.39.63,4,4,0.00,34.70,0.00,N/A
172.65.83.247,4,4,0.00,34.70,0.00,N/A
172.67.187.224,4,4,0.00,34.72,0.00,N/A
104.21.109.23,4,4,0.00,34.72,0.00,N/A
172.67.117.110,4,4,0.00,34.74,0.00,N/A
104.21.21.206,4,4,0.00,34.75,0.00,N/A
104.24.93.36,4,4,0.00,34.75,0.00,N/A
172.65.124.167,4,4,0.00,34.75,0.00,N/A
104.21.192.183,4,4,0.00,34.75,0.00,N/A
104.21.200.135,4,4,0.00,34.76,0.00,N/A
172.67.209.247,4,4,0.00,34.78,0.00,N/A
172.65.9.242,4,4,0.00,34.79,0.00,N/A
172.65.87.126,4,4,0.00,34.81,0.00,N/A
172.67.204.159,4,4,0.00,34.82,0.00,N/A
104.21.201.111,4,4,0.00,34.82,0.00,N/A
172.66.157.196,4,4,0.00,34.82,0.00,N/A
172.65.47.126,4,4,0.00,34.83,0.00,N/A
172.65.250.185,4,4,0.00,34.88,0.00,N/A
104.21.50.84,4,4,0.00,34.88,0.00,N/A
104.24.95.61,4,4,0.00,34.88,0.00,N/A
104.24.74.115,4,4,0.00,34.89,0.00,N/A
172.65.160.14,4,4,0.00,34.90,0.00,N/A
172.65.203.239,4,4,0.00,34.90,0.00,N/A
172.66.158.76,4,4,0.00,34.91,0.00,N/A
172.66.152.134,4,4,0.00,34.91,0.00,N/A
172.67.143.140,4,4,0.00,34.92,0.00,N/A
172.65.217.224,4,4,0.00,34.92,0.00,N/A
172.65.164.134,4,4,0.00,34.92,0.00,N/A
172.65.145.76,4,4,0.00,34.93,0.00,N/A
172.65.48.158,4,4,0.00,34.93,0.00,N/A
172.65.127.133,4,4,0.00,34.93,0.00,N/A
104.24.73.96,4,4,0.00,34.94,0.00,N/A
172.64.152.248,4,4,0.00,34.96,0.00,N/A
172.65.248.225,4,4,0.00,34.97,0.00,N/A
172.65.116.70,4,4,0.00,34.97,0.00,N/A
104.24.76.113,4,4,0.00,34.99,0.00,N/A
172.65.108.91,4,4,0.00,35.00,0.00,N/A
172.65.213.232,4,4,0.00,35.04,0.00,N/A
172.65.146.80,4,4,0.00,35.04,0.00,N/A
172.65.246.244,4,4,0.00,35.05,0.00,N/A
172.65.247.43,4,4,0.00,35.05,0.00,N/A
172.65.216.231,4,4,0.00,35.07,0.00,N/A
172.65.212.207,4,4,0.00,35.09,0.00,N/A
172.65.109.80,4,4,0.00,35.10,0.00,N/A
172.65.242.211,4,4,0.00,35.11,0.00,N/A
172.65.147.76,4,4,0.00,35.12,0.00,N/A
172.66.156.247,4,4,0.00,35.13,0.00,N/A
104.21.66.4,4,4,0.00,35.14,0.00,N/A
172.66.198.62,4,4,0.00,35.19,0.00,N/A
172.67.102.151,4,4,0.00,35.21,0.00,N/A
172.66.199.90,4,4,0.00,35.21,0.00,N/A
172.65.57.223,4,4,0.00,35.21,0.00,N/A
172.65.126.30,4,4,0.00,35.21,0.00,N/A
172.67.167.212,4,4,0.00,35.23,0.00,N/A
172.66.197.12,4,4,0.00,35.24,0.00,N/A
172.67.199.31,4,4,0.00,35.25,0.00,N/A
172.67.212.231,4,4,0.00,35.26,0.00,N/A
172.67.162.170,4,4,0.00,35.28,0.00,N/A
172.65.156.119,4,4,0.00,35.29,0.00,N/A
172.65.96.7,4,4,0.00,35.33,0.00,N/A
172.67.230.214,4,4,0.00,35.37,0.00,N/A
172.66.166.187,4,4,0.00,35.38,0.00,N/A
172.67.186.190,4,4,0.00,35.43,0.00,N/A
172.65.239.71,4,4,0.00,35.43,0.00,N/A
172.65.90.51,4,4,0.00,35.46,0.00,N/A
172.65.74.197,4,4,0.00,35.46,0.00,N/A
172.66.153.33,4,4,0.00,35.47,0.00,N/A
172.67.138.21,4,4,0.00,35.57,0.00,N/A
172.65.81.58,4,4,0.00,35.57,0.00,N/A
172.66.150.33,4,4,0.00,35.59,0.00,N/A
162.159.130.156,4,4,0.00,35.59,0.00,N/A
172.66.162.70,4,4,0.00,35.61,0.00,N/A
172.64.150.172,4,4,0.00,35.64,0.00,N/A
172.65.107.104,4,4,0.00,35.64,0.00,N/A
172.65.227.120,4,4,0.00,35.64,0.00,N/A
172.67.215.95,4,4,0.00,35.66,0.00,N/A
172.66.151.199,4,4,0.00,35.66,0.00,N/A
172.67.205.97,4,4,0.00,35.70,0.00,N/A
172.67.222.225,4,4,0.00,35.71,0.00,N/A
172.65.238.240,4,4,0.00,35.71,0.00,N/A
104.24.6.45,4,4,0.00,35.71,0.00,N/A
104.24.7.47,4,4,0.00,35.72,0.00,N/A
172.66.155.54,4,4,0.00,35.73,0.00,N/A
172.65.225.91,4,4,0.00,35.73,0.00,N/A
172.67.229.250,4,4,0.00,35.76,0.00,N/A
